,State,Year,Quarter,District,Count,Amount
141,Andhra Pradesh,2019,2,srikakulam district,2019203,4066576539.936839
142,Andhra Pradesh,2019,2,spsr nellore district,3141891,6880873007.4820595
143,Andhra Pradesh,2019,2,vizianagaram district,2272320,4443041665.039663
144,Andhra Pradesh,2019,2,visakhapatnam district,11705738,20797479804.029076
145,Andhra Pradesh,2019,2,prakasam district,2670529,6262396448.455349
146,Andhra Pradesh,2019,2,anantapur district,3578836,7830782361.377665
147,Andhra Pradesh,2019,2,ysr district,2606284,6376856828.130632
148,Andhra Pradesh,2019,2,west godavari district,2402074,5676818258.955046
149,Andhra Pradesh,2019,2,kurnool district,3895824,7358285187.018034
150,Andhra Pradesh,2019,2,chittoor district,5983308,10982727976.224325
151,Andhra Pradesh,2019,2,guntur district,5005275,10405246943.481495
152,Andhra Pradesh,2019,2,krishna district,6428472,13437029115.620754
153,Andhra Pradesh,2019,3,east godavari district,6537303,11387726470.57774
154,Andhra Pradesh,2019,3,srikakulam district,2556296,4610131289.524039
155,Andhra Pradesh,2019,3,spsr nellore district,4150195,8256600118.735449
156,Andhra Pradesh,2019,3,vizianagaram district,2861581,4922069039.19216
157,Andhra Pradesh,2019,3,visakhapatnam district,16694947,26944837120.046288
158,Andhra Pradesh,2019,3,prakasam district,3430750,7354502261.150911
159,Andhra Pradesh,2019,3,anantapur district,4889720,9554081289.488277
160,Andhra Pradesh,2019,3,ysr district,3296586,7447544274.2117815
161,Andhra Pradesh,2019,3,west godavari district,3179541,6627629029.01413
162,Andhra Pradesh,2019,3,kurnool district,5139134,9025632779.412457
163,Andhra Pradesh,2019,3,chittoor district,8201783,13837455758.755266
164,Andhra Pradesh,2019,3,guntur district,6942304,13075661264.188034
165,Andhra Pradesh,2019,3,krishna district,8408474,16404073560.500784
166,Andhra Pradesh,2019,4,east godavari district,9285739,16816774065.301317
167,Andhra Pradesh,2019,4,srikakulam district,3712555,6832369301.879345
168,Andhra Pradesh,2019,4,spsr nellore district,5877804,11786014089.194027
169,Andhra Pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
170,Andhra Pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
171,Andhra Pradesh,2019,4,prakasam district,4865473,10604077824.801035
172,Andhra Pradesh,2019,4,anantapur district,6764112,13887248889.064066
173,Andhra Pradesh,2019,4,ysr district,4793157,10865073855.730783
174,Andhra Pradesh,2019,4,west godavari district,4596479,9710614747.20177
175,Andhra Pradesh,2019,4,kurnool district,7001958,13233105728.54823
176,Andhra Pradesh,2019,4,chittoor district,11246986,19298476027.875484
177,Andhra Pradesh,2019,4,guntur district,9761330,18565626418.035915
178,Andhra Pradesh,2019,4,krishna district,11719402,23039786404.04664
179,Andhra Pradesh,2020,1,east godavari district,11346242,21854701379.428688
180,Andhra Pradesh,2020,1,srikakulam district,4835092,9777575594.177538
181,Andhra Pradesh,2020,1,spsr nellore district,7430247,15387829694.446861
182,Andhra Pradesh,2020,1,vizianagaram district,5042066,9879174240.920494
183,Andhra Pradesh,2020,1,visakhapatnam district,27115031,48809747614.678894
184,Andhra Pradesh,2020,1,prakasam district,6318396,14169104764.526735
185,Andhra Pradesh,2020,1,anantapur district,8466129,17864325752.82528
186,Andhra Pradesh,2020,1,ysr district,6031255,14059924636.819912
187,Andhra Pradesh,2020,1,west godavari district,5919670,12995834340.716236
188,Andhra Pradesh,2020,1,kurnool district,8246869,17022710311.813046
189,Andhra Pradesh,2020,1,chittoor district,13257740,23441848567.344193
190,Andhra Pradesh,2020,1,guntur district,11493331,22992734620.64621
191,Andhra Pradesh,2020,1,krishna district,12175289,24481702770.71471
192,Andhra Pradesh,2020,2,east godavari district,13130334,26319906327.32029
193,Andhra Pradesh,2020,2,srikakulam district,6425515,12153650076.875832
194,Andhra Pradesh,2020,2,spsr nellore district,9454274,20665376460.772232
195,Andhra Pradesh,2020,2,vizianagaram district,6690313,12819344389.545382
196,Andhra Pradesh,2020,2,visakhapatnam district,25300401,48293889917.41437
