,State,Year,Quarter,District,Count,Amount
10116,Manipur,2018,2,kakching district,3879,6411513.656549769
10117,Manipur,2018,2,jiribam district,2710,6467614.407545684
10118,Manipur,2018,2,ukhrul district,2800,6394470.819340965
10119,Manipur,2018,2,tamenglong district,1714,4747280.086110413
10120,Manipur,2018,2,kamjong district,340,446574.11265748634
10121,Manipur,2018,2,chandel district,1619,3525831.9511511945
10122,Manipur,2018,2,bishnupur district,11338,19352100.53894212
10123,Manipur,2018,2,senapati district,970,2034357.3575923673
10124,Manipur,2018,2,pherzawl district,11,1036.3525697348664
10125,Manipur,2018,2,churachandpur district,7110,18055703.27078783
10126,Manipur,2018,2,tengnoupal district,2080,6077962.2428630125
10127,Manipur,2018,2,imphal west district,46604,84363001.78828333
10128,Manipur,2018,3,kangpokpi district,9151,27937402.09243063
10129,Manipur,2018,3,noney district,1636,3959453.6371438224
10130,Manipur,2018,3,imphal east district,60511,89605715.78431109
10131,Manipur,2018,3,thoubal district,19399,34092748.23724542
10132,Manipur,2018,3,kakching district,4590,9968419.417644013
10133,Manipur,2018,3,jiribam district,3959,6601625.253335206
10134,Manipur,2018,3,ukhrul district,3600,9802720.723219434
10135,Manipur,2018,3,tamenglong district,2829,6192820.941522401
10136,Manipur,2018,3,kamjong district,349,673262.7657017015
10137,Manipur,2018,3,chandel district,2591,5588239.711362864
10138,Manipur,2018,3,bishnupur district,13649,24368236.711014666
10139,Manipur,2018,3,senapati district,1416,2555370.7700600782
10140,Manipur,2018,3,pherzawl district,48,97583.08278583639
10141,Manipur,2018,3,churachandpur district,8671,27468832.413289707
10142,Manipur,2018,3,tengnoupal district,3282,13385091.180977922
10143,Manipur,2018,3,imphal west district,53577,121033722.07207742
10144,Manipur,2018,4,kangpokpi district,13325,42081524.606101125
10145,Manipur,2018,4,noney district,2598,7315230.191123211
10146,Manipur,2018,4,imphal east district,54610,129176222.41262636
10147,Manipur,2018,4,thoubal district,24817,52899731.29086943
10148,Manipur,2018,4,kakching district,6508,13429124.004544508
10149,Manipur,2018,4,jiribam district,5444,13414981.155959103
10150,Manipur,2018,4,ukhrul district,4538,15201316.568829268
10151,Manipur,2018,4,tamenglong district,4866,13057576.00717781
10152,Manipur,2018,4,kamjong district,845,2822478.1128238714
10153,Manipur,2018,4,chandel district,4425,13092276.488481913
10154,Manipur,2018,4,bishnupur district,19048,37263259.12396772
10155,Manipur,2018,4,senapati district,2902,7569372.186811532
10156,Manipur,2018,4,pherzawl district,112,103445.61904358957
10157,Manipur,2018,4,churachandpur district,14801,54503246.75234864
10158,Manipur,2018,4,tengnoupal district,5426,22155446.62844094
10159,Manipur,2018,4,imphal west district,71845,181598328.15686062
10160,Manipur,2019,1,kangpokpi district,15937,42225052.52830845
10161,Manipur,2019,1,noney district,3526,7995454.9708068315
10162,Manipur,2019,1,imphal east district,65076,147611078.93080652
10163,Manipur,2019,1,thoubal district,24257,47210976.00123881
10164,Manipur,2019,1,kakching district,6683,13774811.29579331
10165,Manipur,2019,1,jiribam district,5957,16988787.69086654
10166,Manipur,2019,1,ukhrul district,6222,16838560.88842248
10167,Manipur,2019,1,tamenglong district,6373,13975000.543136504
10168,Manipur,2019,1,kamjong district,994,2575925.7869967697
10169,Manipur,2019,1,chandel district,4711,14267105.401719613
10170,Manipur,2019,1,bishnupur district,19486,48193281.39036342
10171,Manipur,2019,1,senapati district,3382,7787710.744660139
10172,Manipur,2019,1,pherzawl district,189,363380.8157813267
10173,Manipur,2019,1,churachandpur district,16940,53360483.20022403
10174,Manipur,2019,1,tengnoupal district,6064,21054191.304917272
10175,Manipur,2019,1,imphal west district,79612,205676258.93003774
10176,Manipur,2019,2,kangpokpi district,16230,47129360.10420917
10177,Manipur,2019,2,noney district,3382,10075253.477492668
10178,Manipur,2019,2,imphal east district,60830,163251483.39407197
10179,Manipur,2019,2,thoubal district,20528,50609235.60475471
10180,Manipur,2019,2,kakching district,6912,16106582.072259707
10181,Manipur,2019,2,jiribam district,6285,17270321.134957515
10182,Manipur,2019,2,ukhrul district,7984,21521804.282437492
10183,Manipur,2019,2,tamenglong district,5763,15814788.021049991
10184,Manipur,2019,2,kamjong district,974,3032919.691310563
10185,Manipur,2019,2,chandel district,5816,18618364.598585922
10186,Manipur,2019,2,bishnupur district,17577,41645991.98921693
10187,Manipur,2019,2,senapati district,4057,9803824.584911618
10188,Manipur,2019,2,pherzawl district,226,354755.2995869209
10189,Manipur,2019,2,churachandpur district,15958,52974898.07418257
10190,Manipur,2019,2,tengnoupal district,6226,22523708.105631053
10191,Manipur,2019,2,imphal west district,78677,232056651.71484104
10192,Manipur,2019,3,kangpokpi district,23953,61269618.190953486
10193,Manipur,2019,3,noney district,4592,10163311.001115777
10194,Manipur,2019,3,imphal east district,79728,206224069.84990168
10195,Manipur,2019,3,thoubal district,25149,56874722.875841096
10196,Manipur,2019,3,kakching district,10786,21658629.891090117
10197,Manipur,2019,3,jiribam district,6684,15754766.096758239
10198,Manipur,2019,3,ukhrul district,11017,25516446.138604183
10199,Manipur,2019,3,tamenglong district,9939,22282886.130792048
10200,Manipur,2019,3,kamjong district,1537,3909906.0631627766
10201,Manipur,2019,3,chandel district,9230,20201420.061846673
10202,Manipur,2019,3,bishnupur district,23755,49667965.86779255
10203,Manipur,2019,3,senapati district,5730,12992196.559651546
10204,Manipur,2019,3,pherzawl district,370,763600.6287200841
10205,Manipur,2019,3,churachandpur district,23946,67550608.43753463
10206,Manipur,2019,3,tengnoupal district,7570,21841055.2655591
10207,Manipur,2019,3,imphal west district,101022,266880799.50360966
10208,Manipur,2019,4,kangpokpi district,28686,74931231.19366804
10209,Manipur,2019,4,noney district,6326,14165358.767545234
10210,Manipur,2019,4,imphal east district,96589,249197379.8585516
10211,Manipur,2019,4,thoubal district,32971,73727196.96627039
10212,Manipur,2019,4,kakching district,12984,31541265.82204684
10213,Manipur,2019,4,jiribam district,7943,19814795.854595695
10214,Manipur,2019,4,ukhrul district,12148,33065935.196690496
10215,Manipur,2019,4,tamenglong district,11954,27326669.899029642
10216,Manipur,2019,4,kamjong district,1618,5668618.53808438
10217,Manipur,2019,4,chandel district,11650,30393939.871451408
10218,Manipur,2019,4,bishnupur district,31835,72704593.78015086
10219,Manipur,2019,4,senapati district,7994,15860386.82079871
10220,Manipur,2019,4,pherzawl district,537,1737007.4828713536
10221,Manipur,2019,4,churachandpur district,26420,76031748.45585427
10222,Manipur,2019,4,tengnoupal district,9616,28805257.528178874
10223,Manipur,2019,4,imphal west district,150073,445926296.0528502
10224,Manipur,2020,1,kangpokpi district,33643,81400323.90620552
10225,Manipur,2020,1,noney district,8941,23331883.38449249
10226,Manipur,2020,1,imphal east district,97573,222479758.42504126
10227,Manipur,2020,1,thoubal district,40558,92413414.3395817
10228,Manipur,2020,1,kakching district,16690,37525920.22436564
10229,Manipur,2020,1,jiribam district,8704,20332072.3920429
10230,Manipur,2020,1,ukhrul district,13355,30659040.231015503
10231,Manipur,2020,1,tamenglong district,14451,31491246.17045552
10232,Manipur,2020,1,kamjong district,2768,6910208.366847619
10233,Manipur,2020,1,chandel district,13716,31278977.085135248
10234,Manipur,2020,1,bishnupur district,40172,83818557.86725357
10235,Manipur,2020,1,senapati district,9922,18344875.736180037
10236,Manipur,2020,1,pherzawl district,982,1624394.409407775
10237,Manipur,2020,1,churachandpur district,33637,84566221.4462608
10238,Manipur,2020,1,tengnoupal district,12297,33219739.526860353
10239,Manipur,2020,1,imphal west district,471392,1799193747.3658047
10240,Manipur,2020,2,kangpokpi district,48617,105034881.03695941
10241,Manipur,2020,2,noney district,14604,44082720.741025195
10242,Manipur,2020,2,imphal east district,127255,269647863.43556607
10243,Manipur,2020,2,thoubal district,66183,158615301.51328385
10244,Manipur,2020,2,kakching district,30404,53791181.45126964
10245,Manipur,2020,2,jiribam district,13861,28862256.51424871
10246,Manipur,2020,2,ukhrul district,24243,43560417.96634197
10247,Manipur,2020,2,tamenglong district,21294,47020896.803083815
10248,Manipur,2020,2,kamjong district,4430,11168145.844261197
10249,Manipur,2020,2,chandel district,21517,49008541.100852005
10250,Manipur,2020,2,bishnupur district,70841,142299534.95281482
10251,Manipur,2020,2,senapati district,17187,27792929.58458709
10252,Manipur,2020,2,pherzawl district,1363,4220742.5953207435
10253,Manipur,2020,2,churachandpur district,50818,128936170.25492851
10254,Manipur,2020,2,tengnoupal district,18676,50033115.318425305
10255,Manipur,2020,2,imphal west district,551775,2034861513.6925411
10256,Manipur,2020,3,kangpokpi district,56646,141494952.88474357
10257,Manipur,2020,3,noney district,12955,42576247.00801732
10258,Manipur,2020,3,imphal east district,148992,357420385.46601486
10259,Manipur,2020,3,thoubal district,75667,178314817.40950677
10260,Manipur,2020,3,kakching district,33268,72744605.62932977
10261,Manipur,2020,3,jiribam district,17173,44785891.80461171
10262,Manipur,2020,3,ukhrul district,27857,63120519.96337035
10263,Manipur,2020,3,tamenglong district,24595,57102594.74572652
10264,Manipur,2020,3,kamjong district,5040,16944663.485157657
10265,Manipur,2020,3,chandel district,25158,63504521.07112962
10266,Manipur,2020,3,bishnupur district,82097,178752852.0332132
10267,Manipur,2020,3,senapati district,22336,47618195.960208856
10268,Manipur,2020,3,pherzawl district,2016,4920973.997680077
10269,Manipur,2020,3,churachandpur district,61160,179008408.76793516
10270,Manipur,2020,3,tengnoupal district,19244,50761115.422037035
10271,Manipur,2020,3,imphal west district,805964,3116905375.2218285
10272,Manipur,2020,4,kangpokpi district,74472,216458503.28856832
10273,Manipur,2020,4,noney district,14618,52819316.83640482
10274,Manipur,2020,4,imphal east district,179438,524041651.00012255
10275,Manipur,2020,4,thoubal district,87208,249311101.38298762
10276,Manipur,2020,4,kakching district,37180,96767393.90324815
10277,Manipur,2020,4,jiribam district,19898,56276520.99872882
10278,Manipur,2020,4,ukhrul district,32947,91688189.17603046
10279,Manipur,2020,4,tamenglong district,27674,77956516.78360562
10280,Manipur,2020,4,kamjong district,6676,21815826.79135724
10281,Manipur,2020,4,chandel district,31540,90473275.49273106
10282,Manipur,2020,4,bishnupur district,95869,267444206.38869548
10283,Manipur,2020,4,senapati district,27636,79537295.38666978
10284,Manipur,2020,4,pherzawl district,2329,4810299.528864712
10285,Manipur,2020,4,churachandpur district,71693,243354880.54309082
10286,Manipur,2020,4,tengnoupal district,23797,81989716.00595729
10287,Manipur,2020,4,imphal west district,894877,3447479864.9516916
10288,Manipur,2021,1,kangpokpi district,63234,205050443.8236801
10289,Manipur,2021,1,noney district,12635,47249169.68840321
10290,Manipur,2021,1,imphal east district,161841,530028907.0928848
10291,Manipur,2021,1,thoubal district,72593,240713473.6681419
10292,Manipur,2021,1,kakching district,29803,92307870.36114596
10293,Manipur,2021,1,jiribam district,16697,58448279.737162024
10294,Manipur,2021,1,ukhrul district,22415,68745913.46443734
10295,Manipur,2021,1,tamenglong district,20962,72960342.05136192
10296,Manipur,2021,1,kamjong district,6312,24926447.76105148
10297,Manipur,2021,1,chandel district,23884,80445733.20656839
10298,Manipur,2021,1,bishnupur district,73777,255486792.7272072
10299,Manipur,2021,1,senapati district,22025,73777202.5143657
10300,Manipur,2021,1,pherzawl district,1714,4788028.467703758
10301,Manipur,2021,1,churachandpur district,62755,250250943.40948159
10302,Manipur,2021,1,tengnoupal district,19430,102554591.19717449
10303,Manipur,2021,1,imphal west district,1693458,4962553375.308464
10304,Manipur,2021,2,kangpokpi district,78765,236369410.09906262
10305,Manipur,2021,2,noney district,13296,49460189.27496501
10306,Manipur,2021,2,imphal east district,179337,491977805.9791717
10307,Manipur,2021,2,thoubal district,91264,268514237.48815316
10308,Manipur,2021,2,kakching district,37444,92311646.34027098
10309,Manipur,2021,2,jiribam district,21823,67560643.64335921
10310,Manipur,2021,2,ukhrul district,28524,81225585.7217874
10311,Manipur,2021,2,tamenglong district,24852,77929754.45097202
10312,Manipur,2021,2,kamjong district,6983,31394830.195748344
10313,Manipur,2021,2,chandel district,29178,90054101.93360364
10314,Manipur,2021,2,bishnupur district,89095,260900495.16290623
10315,Manipur,2021,2,senapati district,25681,70219657.8819672
10316,Manipur,2021,2,pherzawl district,1842,5443830.799674254
10317,Manipur,2021,2,churachandpur district,80524,273962339.3949944
10318,Manipur,2021,2,tengnoupal district,23771,94806974.44450317
10319,Manipur,2021,2,imphal west district,2353896,5697696459.585503
10320,Manipur,2021,3,kangpokpi district,94883,299760833.40438926
10321,Manipur,2021,3,noney district,16371,63161488.24690456
10322,Manipur,2021,3,imphal east district,226128,705081475.2381085
10323,Manipur,2021,3,thoubal district,113257,363547884.1177802
10324,Manipur,2021,3,kakching district,44277,128692670.00805303
10325,Manipur,2021,3,jiribam district,26615,80773937.39020777
10326,Manipur,2021,3,ukhrul district,35250,118509943.90387845
10327,Manipur,2021,3,tamenglong district,33266,108769884.20480461
10328,Manipur,2021,3,kamjong district,7567,32384455.496498216
10329,Manipur,2021,3,chandel district,36126,116052040.78947881
10330,Manipur,2021,3,bishnupur district,104901,320379628.1976948
10331,Manipur,2021,3,senapati district,30580,94805880.65418252
10332,Manipur,2021,3,pherzawl district,2176,6654015.070624737
10333,Manipur,2021,3,churachandpur district,109913,397548796.562021
10334,Manipur,2021,3,tengnoupal district,32351,133669134.59317195
10335,Manipur,2021,3,imphal west district,3027735,7437068961.027054
10336,Manipur,2021,4,kangpokpi district,107329,318563859.82046556
10337,Manipur,2021,4,noney district,18970,68519523.59000592
10338,Manipur,2021,4,imphal east district,268205,853764884.9988655
10339,Manipur,2021,4,thoubal district,130316,393043161.28167
10340,Manipur,2021,4,kakching district,43224,130159064.31913412
10341,Manipur,2021,4,jiribam district,30742,97241435.32166685
10342,Manipur,2021,4,ukhrul district,38665,142778895.31045908
10343,Manipur,2021,4,tamenglong district,40279,140792582.9323008
10344,Manipur,2021,4,kamjong district,8685,32152837.655377008
10345,Manipur,2021,4,chandel district,39891,131651667.09783676
10346,Manipur,2021,4,bishnupur district,113386,369885898.8351996
10347,Manipur,2021,4,senapati district,33983,119108747.24317983
10348,Manipur,2021,4,pherzawl district,2553,4851553.5065681385
10349,Manipur,2021,4,churachandpur district,121140,446895232.6851511
10350,Manipur,2021,4,tengnoupal district,40383,154956864.23616886
10351,Manipur,2021,4,imphal west district,3649688,9254105829.377777
10352,Manipur,2022,1,kangpokpi district,120614,361422857.4778744
10353,Manipur,2022,1,noney district,21683,81975537.65019315
10354,Manipur,2022,1,imphal east district,298053,926298622.7916505
10355,Manipur,2022,1,thoubal district,159443,465999965.9324683
10356,Manipur,2022,1,kakching district,45714,129009720.36301753
10357,Manipur,2022,1,jiribam district,33214,106952141.35335837
10358,Manipur,2022,1,ukhrul district,45977,163211543.8876433
10359,Manipur,2022,1,tamenglong district,53325,182059187.8775179
10360,Manipur,2022,1,kamjong district,10050,38396927.57850355
10361,Manipur,2022,1,chandel district,46964,156821048.33140564
10362,Manipur,2022,1,bishnupur district,129775,410979761.59592944
10363,Manipur,2022,1,senapati district,41815,150533112.28282666
10364,Manipur,2022,1,pherzawl district,3014,6196514.84182024
10365,Manipur,2022,1,churachandpur district,132079,478282953.14129984
10366,Manipur,2022,1,tengnoupal district,42399,154983910.95505172
10367,Manipur,2022,1,imphal west district,4129560,10331377272.313238
10368,Manipur,2022,2,kangpokpi district,127346,360381229.2430087
10369,Manipur,2022,2,noney district,23197,84254940.12916884
10370,Manipur,2022,2,imphal east district,334382,1017003992.8811903
10371,Manipur,2022,2,thoubal district,179962,489921006.2514488
10372,Manipur,2022,2,kakching district,45754,124881636.16645998
10373,Manipur,2022,2,jiribam district,32691,103428721.0901084
10374,Manipur,2022,2,ukhrul district,48388,165524493.50724024
10375,Manipur,2022,2,tamenglong district,48779,158669784.21199045
10376,Manipur,2022,2,kamjong district,10915,37728133.785688624
10377,Manipur,2022,2,chandel district,44845,161255425.28835768
10378,Manipur,2022,2,bishnupur district,132234,427663723.98262036
10379,Manipur,2022,2,senapati district,43777,137415599.89701584
10380,Manipur,2022,2,pherzawl district,2855,8843983.191407474
10381,Manipur,2022,2,churachandpur district,130821,445674066.4756689
10382,Manipur,2022,2,tengnoupal district,41686,165158485.2610599
10383,Manipur,2022,2,imphal west district,4858000,11035105413.786879
10384,Manipur,2022,3,kangpokpi district,137088,382055039.8651606
10385,Manipur,2022,3,noney district,24931,85439369.23237866
10386,Manipur,2022,3,imphal east district,401052,1106024473.2650971
10387,Manipur,2022,3,thoubal district,198398,502784611.8050358
10388,Manipur,2022,3,kakching district,114178,269711112.45492435
10389,Manipur,2022,3,jiribam district,39634,115824259.87868573
10390,Manipur,2022,3,ukhrul district,48127,165404721.91649568
10391,Manipur,2022,3,tamenglong district,48889,150947198.95233533
10392,Manipur,2022,3,kamjong district,10597,34540807.45741892
10393,Manipur,2022,3,chandel district,43042,139937266.69668734
10394,Manipur,2022,3,bishnupur district,126573,397535713.9599227
10395,Manipur,2022,3,senapati district,46116,141106697.64180183
10396,Manipur,2022,3,pherzawl district,3137,8974350.656289712
10397,Manipur,2022,3,churachandpur district,200968,560754898.7150536
10398,Manipur,2022,3,tengnoupal district,44324,167247032.01495245
10399,Manipur,2022,3,imphal west district,4865688,11153142712.787489
10400,Manipur,2022,4,kangpokpi district,195796,499527018.93453866
10401,Manipur,2022,4,noney district,26985,75780551.02724609
10402,Manipur,2022,4,imphal east district,417476,1124061241.8453987
10403,Manipur,2022,4,thoubal district,252156,642341521.1672155
10404,Manipur,2022,4,kakching district,205827,477287512.8489387
10405,Manipur,2022,4,jiribam district,43510,122910899.30361357
10406,Manipur,2022,4,ukhrul district,48379,164810102.766275
10407,Manipur,2022,4,tamenglong district,51040,160602196.99791262
10408,Manipur,2022,4,kamjong district,12943,35804745.19811843
10409,Manipur,2022,4,chandel district,45646,133101652.30134834
10410,Manipur,2022,4,bishnupur district,134155,398215642.6664851
10411,Manipur,2022,4,senapati district,63745,180730794.8423508
10412,Manipur,2022,4,pherzawl district,3998,12008369.41204643
10413,Manipur,2022,4,churachandpur district,139622,418292018.1391273
10414,Manipur,2022,4,tengnoupal district,49553,175755833.191996
10415,Manipur,2022,4,imphal west district,4737839,11004726597.698875
10416,Manipur,2023,1,kangpokpi district,211256,520765461.0
10417,Manipur,2023,1,noney district,42474,105173660.0
10418,Manipur,2023,1,imphal east district,659880,1637025593.0
10419,Manipur,2023,1,thoubal district,315961,796620060.0
10420,Manipur,2023,1,kakching district,73843,198151744.0
10421,Manipur,2023,1,jiribam district,77431,212799071.0
10422,Manipur,2023,1,ukhrul district,83455,267514824.0
10423,Manipur,2023,1,tamenglong district,86492,231452890.0
10424,Manipur,2023,1,kamjong district,14147,46200306.0
10425,Manipur,2023,1,chandel district,71874,194324741.0
10426,Manipur,2023,1,bishnupur district,231239,626631062.0
10427,Manipur,2023,1,senapati district,94404,252756548.0
10428,Manipur,2023,1,pherzawl district,7046,16737449.0
10429,Manipur,2023,1,churachandpur district,221158,582341436.0
10430,Manipur,2023,1,tengnoupal district,79811,294235941.0
10431,Manipur,2023,1,imphal west district,987912,2602833306.0
10432,Manipur,2023,2,kangpokpi district,96061,265835614.0
10433,Manipur,2023,2,noney district,19828,52589124.0
10434,Manipur,2023,2,imphal east district,332809,855990060.0
10435,Manipur,2023,2,thoubal district,155290,412755825.0
10436,Manipur,2023,2,kakching district,34781,104524162.0
10437,Manipur,2023,2,jiribam district,53949,153237238.0
10438,Manipur,2023,2,ukhrul district,41027,131978491.0
10439,Manipur,2023,2,tamenglong district,42991,121710165.0
10440,Manipur,2023,2,kamjong district,6735,19646588.0
10441,Manipur,2023,2,chandel district,32757,105500017.0
10442,Manipur,2023,2,bishnupur district,108042,304861281.0
10443,Manipur,2023,2,senapati district,49144,139357712.0
10444,Manipur,2023,2,pherzawl district,4764,13802243.0
10445,Manipur,2023,2,churachandpur district,108049,309376954.0
10446,Manipur,2023,2,tengnoupal district,35862,125510737.0
10447,Manipur,2023,2,imphal west district,484182,1347200442.0
10448,Manipur,2023,3,kangpokpi district,60374,270393444.0
10449,Manipur,2023,3,noney district,3054,9696801.0
10450,Manipur,2023,3,imphal east district,195597,762942643.0
10451,Manipur,2023,3,thoubal district,70780,289941575.0
10452,Manipur,2023,3,kakching district,17007,68770946.0
10453,Manipur,2023,3,jiribam district,48471,170419988.0
10454,Manipur,2023,3,ukhrul district,18404,74546308.0
10455,Manipur,2023,3,tamenglong district,21706,105176707.0
10456,Manipur,2023,3,kamjong district,1252,3987258.0
10457,Manipur,2023,3,chandel district,8965,43558431.0
10458,Manipur,2023,3,bishnupur district,52074,228769251.0
10459,Manipur,2023,3,senapati district,25056,88162234.0
10460,Manipur,2023,3,pherzawl district,2914,9863352.0
10461,Manipur,2023,3,churachandpur district,43375,215267198.0
10462,Manipur,2023,3,tengnoupal district,13210,74417046.0
10463,Manipur,2023,3,imphal west district,283239,1192373419.0
10464,Manipur,2023,4,kangpokpi district,143024,482630626.0
10465,Manipur,2023,4,noney district,19982,61939488.0
10466,Manipur,2023,4,imphal east district,466350,1424311158.0
10467,Manipur,2023,4,thoubal district,193084,587381961.0
10468,Manipur,2023,4,kakching district,41110,132051701.0
10469,Manipur,2023,4,jiribam district,79450,216717452.0
10470,Manipur,2023,4,ukhrul district,48581,176550849.0
10471,Manipur,2023,4,tamenglong district,53369,169026544.0
10472,Manipur,2023,4,kamjong district,7304,25527546.0
10473,Manipur,2023,4,chandel district,32884,104621120.0
10474,Manipur,2023,4,bishnupur district,158304,517891073.0
10475,Manipur,2023,4,senapati district,55235,143200212.0
10476,Manipur,2023,4,pherzawl district,3365,12293316.0
10477,Manipur,2023,4,churachandpur district,123502,463823678.0
10478,Manipur,2023,4,tengnoupal district,41858,171499388.0
10479,Manipur,2023,4,imphal west district,645798,2110859186.0
10480,Manipur,2024,1,kangpokpi district,250851,633880626.0
10481,Manipur,2024,1,noney district,53861,127577332.0
10482,Manipur,2024,1,imphal east district,807970,1806285586.0
10483,Manipur,2024,1,thoubal district,375796,844958083.0
10484,Manipur,2024,1,kakching district,80672,189925734.0
10485,Manipur,2024,1,jiribam district,133568,289640866.0
10486,Manipur,2024,1,ukhrul district,100123,298191818.0
10487,Manipur,2024,1,tamenglong district,102763,257065130.0
10488,Manipur,2024,1,kamjong district,18771,53723042.0
10489,Manipur,2024,1,chandel district,82884,211336456.0
10490,Manipur,2024,1,bishnupur district,309635,741135994.0
10491,Manipur,2024,1,senapati district,104452,247581843.0
10492,Manipur,2024,1,pherzawl district,5764,14665910.0
10493,Manipur,2024,1,churachandpur district,194606,549371725.0
10494,Manipur,2024,1,tengnoupal district,90480,252178999.0
10495,Manipur,2024,1,imphal west district,1133368,2725454179.0
10496,Meghalaya,2018,1,north garo hills district,922,652554.6654640209
10497,Meghalaya,2018,1,south west khasi hills district,319,489330.8331522482
10498,Meghalaya,2018,1,west garo hills district,7660,9199200.848858135
10499,Meghalaya,2018,1,south garo hills district,705,807410.0407250253
10500,Meghalaya,2018,1,east jaintia hills district,4896,8299361.376028441
10501,Meghalaya,2018,1,south west garo hills district,798,1015597.2351604333
10502,Meghalaya,2018,1,east khasi hills district,23283,31807959.175373342
10503,Meghalaya,2018,1,east garo hills district,749,781579.3759249721
10504,Meghalaya,2018,1,ribhoi district,6029,8736566.953918608
10505,Meghalaya,2018,1,west jaintia hills district,3131,2812937.948004551
10506,Meghalaya,2018,1,west khasi hills district,1079,1647761.3372907462
10507,Meghalaya,2018,2,north garo hills district,1403,1278347.188045342
10508,Meghalaya,2018,2,south west khasi hills district,396,311487.1929993931
10509,Meghalaya,2018,2,west garo hills district,10651,19685429.154264543
10510,Meghalaya,2018,2,south garo hills district,1103,1553253.9322072896
10511,Meghalaya,2018,2,east jaintia hills district,6004,13059945.843045246
10512,Meghalaya,2018,2,south west garo hills district,1767,1724404.6747075585
10513,Meghalaya,2018,2,east khasi hills district,33966,61180700.479729906
10514,Meghalaya,2018,2,east garo hills district,832,1032161.1690227182
10515,Meghalaya,2018,2,ribhoi district,8761,14181827.919832248
10516,Meghalaya,2018,2,west jaintia hills district,2232,2312980.3326936862
10517,Meghalaya,2018,2,west khasi hills district,742,684129.9552836155
10518,Meghalaya,2018,3,north garo hills district,2271,1976480.2056813869
10519,Meghalaya,2018,3,south west khasi hills district,1032,1016289.6491765348
10520,Meghalaya,2018,3,west garo hills district,17911,31488596.43937725
10521,Meghalaya,2018,3,south garo hills district,2110,2467349.2565310476
10522,Meghalaya,2018,3,east jaintia hills district,11397,22683448.874125846
10523,Meghalaya,2018,3,south west garo hills district,2740,4294444.447825844
10524,Meghalaya,2018,3,east khasi hills district,54015,111173160.26256448
10525,Meghalaya,2018,3,east garo hills district,1323,1963470.7809556075
10526,Meghalaya,2018,3,ribhoi district,13023,26072883.30165547
10527,Meghalaya,2018,3,west jaintia hills district,3240,4571330.11958733
10528,Meghalaya,2018,3,west khasi hills district,1228,2146208.196912882
10529,Meghalaya,2018,4,north garo hills district,4011,4590211.2600644585
10530,Meghalaya,2018,4,south west khasi hills district,1518,2669874.2649973836
10531,Meghalaya,2018,4,west garo hills district,29000,52674487.37349704
10532,Meghalaya,2018,4,south garo hills district,3037,6001319.0968858795
10533,Meghalaya,2018,4,east jaintia hills district,20614,37885027.674247645
10534,Meghalaya,2018,4,south west garo hills district,3950,4531236.407859931
10535,Meghalaya,2018,4,east khasi hills district,70386,167808906.77955163
10536,Meghalaya,2018,4,east garo hills district,2808,5832920.4836901445
10537,Meghalaya,2018,4,ribhoi district,18294,42066652.872822896
10538,Meghalaya,2018,4,west jaintia hills district,4693,7562803.76113517
10539,Meghalaya,2018,4,west khasi hills district,2821,5962239.029920495
10540,Meghalaya,2019,1,north garo hills district,3816,4016398.1062618718
10541,Meghalaya,2019,1,south west khasi hills district,1267,2118829.321976449
10542,Meghalaya,2019,1,west garo hills district,30087,58548564.16871373
10543,Meghalaya,2019,1,south garo hills district,3146,7486873.33081286
10544,Meghalaya,2019,1,east jaintia hills district,25054,46007520.563187
10545,Meghalaya,2019,1,south west garo hills district,3819,4558241.545395774
10546,Meghalaya,2019,1,east khasi hills district,101662,201352082.70276013
10547,Meghalaya,2019,1,east garo hills district,3529,6495149.290021526
10548,Meghalaya,2019,1,ribhoi district,27304,55813436.16699861
10549,Meghalaya,2019,1,west jaintia hills district,5411,7594602.551824972
10550,Meghalaya,2019,1,west khasi hills district,3646,5045464.405482588
10551,Meghalaya,2019,2,north garo hills district,3804,4329558.19180281
10552,Meghalaya,2019,2,south west khasi hills district,1152,2679006.93031867
10553,Meghalaya,2019,2,west garo hills district,32077,70701852.43602182
10554,Meghalaya,2019,2,south garo hills district,3048,7076537.051932728
10555,Meghalaya,2019,2,east jaintia hills district,21325,43624217.35616365
10556,Meghalaya,2019,2,south west garo hills district,4563,6981663.150095232
10557,Meghalaya,2019,2,east khasi hills district,126665,274701980.60370815
10558,Meghalaya,2019,2,east garo hills district,3926,6785815.738085165
10559,Meghalaya,2019,2,ribhoi district,27488,61625177.51082603
10560,Meghalaya,2019,2,west jaintia hills district,5226,9713762.898637522
10561,Meghalaya,2019,2,west khasi hills district,3012,4711717.239687435
10562,Meghalaya,2019,3,north garo hills district,6329,7479871.090316384
10563,Meghalaya,2019,3,south west khasi hills district,2009,2418047.871266484
10564,Meghalaya,2019,3,west garo hills district,45652,90390851.3262687
10565,Meghalaya,2019,3,south garo hills district,4768,7846736.258536675
10566,Meghalaya,2019,3,east jaintia hills district,28604,50090916.58164
10567,Meghalaya,2019,3,south west garo hills district,6405,9676872.049848383
10568,Meghalaya,2019,3,east khasi hills district,156970,344129503.4634751
10569,Meghalaya,2019,3,east garo hills district,5970,8134689.123280492
10570,Meghalaya,2019,3,ribhoi district,36292,73979318.03570686
10571,Meghalaya,2019,3,west jaintia hills district,8947,11292434.23987686
10572,Meghalaya,2019,3,west khasi hills district,4604,6779362.1133165285
