,State,Year,Quater,District,Registered_Users
46,Andaman & Nicobar,2021,4,north and middle andaman,10002
47,Andaman & Nicobar,2021,4,nicobars,1971
48,Andaman & Nicobar,2022,1,south andaman,63487
49,Andaman & Nicobar,2022,1,north and middle andaman,10720
50,Andaman & Nicobar,2022,1,nicobars,2081
51,Andaman & Nicobar,2022,2,south andaman,66959
52,Andaman & Nicobar,2022,2,north and middle andaman,11379
53,Andaman & Nicobar,2022,2,nicobars,2192
54,Andaman & Nicobar,2022,3,south andaman,70445
55,Andaman & Nicobar,2022,3,north and middle andaman,11897
56,Andaman & Nicobar,2022,3,nicobars,2300
57,Andaman & Nicobar,2022,4,south andaman,73692
58,Andaman & Nicobar,2022,4,north and middle andaman,12361
59,Andaman & Nicobar,2022,4,nicobars,2389
60,Andaman & Nicobar,2023,1,south andaman,77052
61,Andaman & Nicobar,2023,1,north and middle andaman,12941
62,Andaman & Nicobar,2023,1,nicobars,2491
63,Andaman & Nicobar,2023,2,south andaman,80112
64,Andaman & Nicobar,2023,2,north and middle andaman,13600
65,Andaman & Nicobar,2023,2,nicobars,2617
66,Andaman & Nicobar,2023,3,south andaman,83305
67,Andaman & Nicobar,2023,3,north and middle andaman,14216
68,Andaman & Nicobar,2023,3,nicobars,2734
69,Andaman & Nicobar,2023,4,south andaman,86348
70,Andaman & Nicobar,2023,4,north and middle andaman,14813
71,Andaman & Nicobar,2023,4,nicobars,2817
72,Andaman & Nicobar,2024,1,south andaman,89907
73,Andaman & Nicobar,2024,1,north and middle andaman,15539
74,Andaman & Nicobar,2024,1,nicobars,2965
75,Andhra Pradesh,2018,1,visakhapatnam,497187
76,Andhra Pradesh,2018,1,east godavari,350356
77,Andhra Pradesh,2018,1,krishna,323673
78,Andhra Pradesh,2018,1,guntur,317065
79,Andhra Pradesh,2018,1,chittoor,309541
80,Andhra Pradesh,2018,1,anantapur,241192
81,Andhra Pradesh,2018,1,kurnool,240133
82,Andhra Pradesh,2018,1,west godavari,213335
83,Andhra Pradesh,2018,1,spsr nellore,194475
84,Andhra Pradesh,2018,1,prakasam,189949
85,Andhra Pradesh,2018,2,visakhapatnam,636052
86,Andhra Pradesh,2018,2,east godavari,454398
87,Andhra Pradesh,2018,2,krishna,431965
88,Andhra Pradesh,2018,2,guntur,420326
89,Andhra Pradesh,2018,2,chittoor,414306
90,Andhra Pradesh,2018,2,anantapur,326383
91,Andhra Pradesh,2018,2,kurnool,319313
92,Andhra Pradesh,2018,2,west godavari,282393
93,Andhra Pradesh,2018,2,spsr nellore,261049
94,Andhra Pradesh,2018,2,prakasam,253458
95,Andhra Pradesh,2018,3,visakhapatnam,769096
96,Andhra Pradesh,2018,3,east godavari,558982
97,Andhra Pradesh,2018,3,krishna,537086
98,Andhra Pradesh,2018,3,guntur,518931
99,Andhra Pradesh,2018,3,chittoor,515727
100,Andhra Pradesh,2018,3,anantapur,405855
101,Andhra Pradesh,2018,3,kurnool,394311
102,Andhra Pradesh,2018,3,west godavari,349782
103,Andhra Pradesh,2018,3,spsr nellore,322446
104,Andhra Pradesh,2018,3,prakasam,314899
105,Andhra Pradesh,2018,4,visakhapatnam,978288
106,Andhra Pradesh,2018,4,east godavari,694455
107,Andhra Pradesh,2018,4,krishna,682479
108,Andhra Pradesh,2018,4,chittoor,665280
109,Andhra Pradesh,2018,4,guntur,659552
110,Andhra Pradesh,2018,4,anantapur,510892
111,Andhra Pradesh,2018,4,kurnool,498582
112,Andhra Pradesh,2018,4,west godavari,435668
113,Andhra Pradesh,2018,4,spsr nellore,407495
114,Andhra Pradesh,2018,4,prakasam,394962
115,Andhra Pradesh,2019,1,visakhapatnam,1174517
116,Andhra Pradesh,2019,1,east godavari,839277
117,Andhra Pradesh,2019,1,krishna,833694
118,Andhra Pradesh,2019,1,chittoor,812314
119,Andhra Pradesh,2019,1,guntur,802394
120,Andhra Pradesh,2019,1,anantapur,612162
121,Andhra Pradesh,2019,1,kurnool,599422
122,Andhra Pradesh,2019,1,west godavari,523372
123,Andhra Pradesh,2019,1,spsr nellore,491908
124,Andhra Pradesh,2019,1,prakasam,474260
125,Andhra Pradesh,2019,2,visakhapatnam,1318740
126,Andhra Pradesh,2019,2,krishna,952300
127,Andhra Pradesh,2019,2,east godavari,945181
128,Andhra Pradesh,2019,2,chittoor,925491
129,Andhra Pradesh,2019,2,guntur,915256
130,Andhra Pradesh,2019,2,anantapur,695114
131,Andhra Pradesh,2019,2,kurnool,680118
132,Andhra Pradesh,2019,2,west godavari,592185
133,Andhra Pradesh,2019,2,spsr nellore,558303
134,Andhra Pradesh,2019,2,prakasam,539462
135,Andhra Pradesh,2019,3,visakhapatnam,1460464
136,Andhra Pradesh,2019,3,krishna,1066546
137,Andhra Pradesh,2019,3,east godavari,1057167
138,Andhra Pradesh,2019,3,chittoor,1032733
139,Andhra Pradesh,2019,3,guntur,1026418
140,Andhra Pradesh,2019,3,anantapur,773656
141,Andhra Pradesh,2019,3,kurnool,755024
142,Andhra Pradesh,2019,3,west godavari,662102
143,Andhra Pradesh,2019,3,spsr nellore,619592
144,Andhra Pradesh,2019,3,prakasam,598568
145,Andhra Pradesh,2019,4,visakhapatnam,1620235
146,Andhra Pradesh,2019,4,krishna,1199971
147,Andhra Pradesh,2019,4,east godavari,1195228
148,Andhra Pradesh,2019,4,guntur,1158708
149,Andhra Pradesh,2019,4,chittoor,1156351
150,Andhra Pradesh,2019,4,anantapur,873033
151,Andhra Pradesh,2019,4,kurnool,846885
152,Andhra Pradesh,2019,4,west godavari,750078
153,Andhra Pradesh,2019,4,spsr nellore,697154
154,Andhra Pradesh,2019,4,prakasam,673522
155,Andhra Pradesh,2020,1,visakhapatnam,1763581
156,Andhra Pradesh,2020,1,krishna,1331602
157,Andhra Pradesh,2020,1,east godavari,1329664
158,Andhra Pradesh,2020,1,guntur,1289678
159,Andhra Pradesh,2020,1,chittoor,1270907
160,Andhra Pradesh,2020,1,anantapur,971850
161,Andhra Pradesh,2020,1,kurnool,936293
162,Andhra Pradesh,2020,1,west godavari,843835
163,Andhra Pradesh,2020,1,spsr nellore,775440
164,Andhra Pradesh,2020,1,prakasam,748655
165,Andhra Pradesh,2020,2,visakhapatnam,1904719
166,Andhra Pradesh,2020,2,east godavari,1459116
167,Andhra Pradesh,2020,2,krishna,1459041
168,Andhra Pradesh,2020,2,guntur,1426271
169,Andhra Pradesh,2020,2,chittoor,1385916
170,Andhra Pradesh,2020,2,anantapur,1076953
171,Andhra Pradesh,2020,2,kurnool,1035093
172,Andhra Pradesh,2020,2,west godavari,944829
173,Andhra Pradesh,2020,2,spsr nellore,854459
174,Andhra Pradesh,2020,2,prakasam,830709
175,Andhra Pradesh,2020,3,visakhapatnam,2058346
176,Andhra Pradesh,2020,3,east godavari,1601940
177,Andhra Pradesh,2020,3,krishna,1599289
178,Andhra Pradesh,2020,3,guntur,1567595
179,Andhra Pradesh,2020,3,chittoor,1506503
180,Andhra Pradesh,2020,3,anantapur,1186851
181,Andhra Pradesh,2020,3,kurnool,1132240
182,Andhra Pradesh,2020,3,west godavari,1053674
183,Andhra Pradesh,2020,3,spsr nellore,937176
184,Andhra Pradesh,2020,3,prakasam,915240
185,Andhra Pradesh,2020,4,visakhapatnam,2209658
186,Andhra Pradesh,2020,4,east godavari,1746280
187,Andhra Pradesh,2020,4,krishna,1744028
188,Andhra Pradesh,2020,4,guntur,1712940
189,Andhra Pradesh,2020,4,chittoor,1631331
190,Andhra Pradesh,2020,4,anantapur,1295872
191,Andhra Pradesh,2020,4,kurnool,1230466
192,Andhra Pradesh,2020,4,west godavari,1163179
193,Andhra Pradesh,2020,4,spsr nellore,1022944
194,Andhra Pradesh,2020,4,prakasam,999462
195,Andhra Pradesh,2021,1,visakhapatnam,2368081
196,Andhra Pradesh,2021,1,east godavari,1878769
197,Andhra Pradesh,2021,1,krishna,1876458
198,Andhra Pradesh,2021,1,guntur,1843237
199,Andhra Pradesh,2021,1,chittoor,1751420
200,Andhra Pradesh,2021,1,anantapur,1394849
201,Andhra Pradesh,2021,1,kurnool,1323411
202,Andhra Pradesh,2021,1,west godavari,1254117
203,Andhra Pradesh,2021,1,spsr nellore,1100541
204,Andhra Pradesh,2021,1,prakasam,1075936
205,Andhra Pradesh,2021,2,visakhapatnam,2526830
206,Andhra Pradesh,2021,2,east godavari,2006272
207,Andhra Pradesh,2021,2,krishna,2002662
208,Andhra Pradesh,2021,2,guntur,1968681
209,Andhra Pradesh,2021,2,chittoor,1870723
210,Andhra Pradesh,2021,2,anantapur,1492738
211,Andhra Pradesh,2021,2,kurnool,1415585
212,Andhra Pradesh,2021,2,west godavari,1339377
213,Andhra Pradesh,2021,2,spsr nellore,1176334
214,Andhra Pradesh,2021,2,prakasam,1151232
215,Andhra Pradesh,2021,3,visakhapatnam,2707931
216,Andhra Pradesh,2021,3,east godavari,2150622
217,Andhra Pradesh,2021,3,krishna,2145423
218,Andhra Pradesh,2021,3,guntur,2110878
219,Andhra Pradesh,2021,3,chittoor,2007011
220,Andhra Pradesh,2021,3,anantapur,1606735
221,Andhra Pradesh,2021,3,kurnool,1522196
222,Andhra Pradesh,2021,3,west godavari,1436576
223,Andhra Pradesh,2021,3,spsr nellore,1263550
224,Andhra Pradesh,2021,3,prakasam,1239147
225,Andhra Pradesh,2021,4,visakhapatnam,2888774
226,Andhra Pradesh,2021,4,east godavari,2294347
227,Andhra Pradesh,2021,4,krishna,2288148
228,Andhra Pradesh,2021,4,guntur,2252443
229,Andhra Pradesh,2021,4,chittoor,2141818
230,Andhra Pradesh,2021,4,anantapur,1719437
231,Andhra Pradesh,2021,4,kurnool,1628242
232,Andhra Pradesh,2021,4,west godavari,1532898
233,Andhra Pradesh,2021,4,spsr nellore,1349290
234,Andhra Pradesh,2021,4,prakasam,1325728
235,Andhra Pradesh,2022,1,visakhapatnam,3061324
236,Andhra Pradesh,2022,1,east godavari,2432305
237,Andhra Pradesh,2022,1,krishna,2423373
238,Andhra Pradesh,2022,1,guntur,2387051
239,Andhra Pradesh,2022,1,chittoor,2270705
240,Andhra Pradesh,2022,1,anantapur,1827094
241,Andhra Pradesh,2022,1,kurnool,1729513
242,Andhra Pradesh,2022,1,west godavari,1626039
243,Andhra Pradesh,2022,1,spsr nellore,1431664
244,Andhra Pradesh,2022,1,prakasam,1408929
245,Andhra Pradesh,2022,2,visakhapatnam,3226029
246,Andhra Pradesh,2022,2,east godavari,2564165
247,Andhra Pradesh,2022,2,krishna,2552107
248,Andhra Pradesh,2022,2,guntur,2514794
249,Andhra Pradesh,2022,2,chittoor,2392549
250,Andhra Pradesh,2022,2,anantapur,1928213
251,Andhra Pradesh,2022,2,kurnool,1825280
252,Andhra Pradesh,2022,2,west godavari,1714357
253,Andhra Pradesh,2022,2,spsr nellore,1509927
254,Andhra Pradesh,2022,2,prakasam,1487589
255,Andhra Pradesh,2022,3,visakhapatnam,3397514
256,Andhra Pradesh,2022,3,east godavari,2702234
257,Andhra Pradesh,2022,3,krishna,2685215
258,Andhra Pradesh,2022,3,guntur,2647100
259,Andhra Pradesh,2022,3,chittoor,2517657
260,Andhra Pradesh,2022,3,anantapur,2030824
261,Andhra Pradesh,2022,3,kurnool,1924127
262,Andhra Pradesh,2022,3,west godavari,1805967
263,Andhra Pradesh,2022,3,spsr nellore,1588875
264,Andhra Pradesh,2022,3,prakasam,1567520
265,Andhra Pradesh,2022,4,visakhapatnam,3566854
266,Andhra Pradesh,2022,4,east godavari,2835087
267,Andhra Pradesh,2022,4,krishna,2813645
268,Andhra Pradesh,2022,4,guntur,2774365
269,Andhra Pradesh,2022,4,chittoor,2636036
270,Andhra Pradesh,2022,4,anantapur,2128066
271,Andhra Pradesh,2022,4,kurnool,2018290
272,Andhra Pradesh,2022,4,west godavari,1893310
273,Andhra Pradesh,2022,4,spsr nellore,1663684
274,Andhra Pradesh,2022,4,prakasam,1642503
275,Andhra Pradesh,2023,1,visakhapatnam,3732544
276,Andhra Pradesh,2023,1,east godavari,2965296
277,Andhra Pradesh,2023,1,krishna,2941585
278,Andhra Pradesh,2023,1,guntur,2900895
279,Andhra Pradesh,2023,1,chittoor,2755784
280,Andhra Pradesh,2023,1,anantapur,2228505
281,Andhra Pradesh,2023,1,kurnool,2114023
282,Andhra Pradesh,2023,1,west godavari,1980446
283,Andhra Pradesh,2023,1,spsr nellore,1740294
284,Andhra Pradesh,2023,1,prakasam,1719910
285,Andhra Pradesh,2023,2,visakhapatnam,3877504
286,Andhra Pradesh,2023,2,east godavari,3082893
287,Andhra Pradesh,2023,2,krishna,3054956
288,Andhra Pradesh,2023,2,guntur,3014655
289,Andhra Pradesh,2023,2,chittoor,2865250
290,Andhra Pradesh,2023,2,anantapur,2323796
291,Andhra Pradesh,2023,2,kurnool,2202517
292,Andhra Pradesh,2023,2,west godavari,2059880
293,Andhra Pradesh,2023,2,spsr nellore,1811781
294,Andhra Pradesh,2023,2,prakasam,1792637
295,Andhra Pradesh,2023,3,visakhapatnam,4035323
296,Andhra Pradesh,2023,3,east godavari,3211557
297,Andhra Pradesh,2023,3,krishna,3177643
298,Andhra Pradesh,2023,3,guntur,3137289
299,Andhra Pradesh,2023,3,chittoor,2981337
300,Andhra Pradesh,2023,3,anantapur,2421293
301,Andhra Pradesh,2023,3,kurnool,2295754
302,Andhra Pradesh,2023,3,west godavari,2146530
303,Andhra Pradesh,2023,3,spsr nellore,1887005
304,Andhra Pradesh,2023,3,prakasam,1868997
305,Andhra Pradesh,2023,4,visakhapatnam,4180797
306,Andhra Pradesh,2023,4,east godavari,3329036
307,Andhra Pradesh,2023,4,krishna,3291814
308,Andhra Pradesh,2023,4,guntur,3251121
309,Andhra Pradesh,2023,4,chittoor,3089391
310,Andhra Pradesh,2023,4,anantapur,2512744
311,Andhra Pradesh,2023,4,kurnool,2383042
312,Andhra Pradesh,2023,4,west godavari,2227243
313,Andhra Pradesh,2023,4,spsr nellore,1956706
314,Andhra Pradesh,2023,4,prakasam,1939979
315,Andhra Pradesh,2024,1,visakhapatnam,4349723
316,Andhra Pradesh,2024,1,east godavari,3465605
317,Andhra Pradesh,2024,1,krishna,3423998
318,Andhra Pradesh,2024,1,guntur,3382454
319,Andhra Pradesh,2024,1,chittoor,3214678
320,Andhra Pradesh,2024,1,anantapur,2619335
321,Andhra Pradesh,2024,1,kurnool,2484451
322,Andhra Pradesh,2024,1,west godavari,2319971
323,Andhra Pradesh,2024,1,spsr nellore,2037823
324,Andhra Pradesh,2024,1,prakasam,2022873
325,Arunachal Pradesh,2018,1,papum pare,7649
326,Arunachal Pradesh,2018,1,west kameng,2202
327,Arunachal Pradesh,2018,1,east siang,1803
328,Arunachal Pradesh,2018,1,tawang,1525
329,Arunachal Pradesh,2018,1,changlang,1208
330,Arunachal Pradesh,2018,1,lohit,1207
331,Arunachal Pradesh,2018,1,west siang,846
332,Arunachal Pradesh,2018,1,namsai,737
333,Arunachal Pradesh,2018,1,lower dibang valley,601
334,Arunachal Pradesh,2018,1,upper subansiri,572
335,Arunachal Pradesh,2018,2,papum pare,11418
336,Arunachal Pradesh,2018,2,west kameng,3442
337,Arunachal Pradesh,2018,2,east siang,2646
338,Arunachal Pradesh,2018,2,tawang,2266
339,Arunachal Pradesh,2018,2,changlang,2014
340,Arunachal Pradesh,2018,2,lohit,1898
341,Arunachal Pradesh,2018,2,namsai,1276
342,Arunachal Pradesh,2018,2,west siang,1224
343,Arunachal Pradesh,2018,2,lower dibang valley,893
344,Arunachal Pradesh,2018,2,upper subansiri,883
345,Arunachal Pradesh,2018,3,papum pare,16009
346,Arunachal Pradesh,2018,3,west kameng,4765
347,Arunachal Pradesh,2018,3,east siang,3590
348,Arunachal Pradesh,2018,3,tawang,3112
349,Arunachal Pradesh,2018,3,changlang,2889
350,Arunachal Pradesh,2018,3,lohit,2612
351,Arunachal Pradesh,2018,3,namsai,1862
352,Arunachal Pradesh,2018,3,west siang,1652
353,Arunachal Pradesh,2018,3,lower dibang valley,1286
354,Arunachal Pradesh,2018,3,tirap,1226
355,Arunachal Pradesh,2018,4,papum pare,21342
356,Arunachal Pradesh,2018,4,west kameng,6492
357,Arunachal Pradesh,2018,4,east siang,4813
358,Arunachal Pradesh,2018,4,tawang,4085
359,Arunachal Pradesh,2018,4,changlang,4036
360,Arunachal Pradesh,2018,4,lohit,3588
361,Arunachal Pradesh,2018,4,namsai,2495
362,Arunachal Pradesh,2018,4,west siang,2117
363,Arunachal Pradesh,2018,4,lower dibang valley,1827
364,Arunachal Pradesh,2018,4,tirap,1684
365,Arunachal Pradesh,2019,1,papum pare,26298
366,Arunachal Pradesh,2019,1,west kameng,8115
367,Arunachal Pradesh,2019,1,east siang,5899
368,Arunachal Pradesh,2019,1,changlang,5210
369,Arunachal Pradesh,2019,1,tawang,5023
370,Arunachal Pradesh,2019,1,lohit,4416
371,Arunachal Pradesh,2019,1,namsai,3153
372,Arunachal Pradesh,2019,1,west siang,2656
373,Arunachal Pradesh,2019,1,lower dibang valley,2314
374,Arunachal Pradesh,2019,1,tirap,2082
375,Arunachal Pradesh,2019,2,papum pare,32800
376,Arunachal Pradesh,2019,2,west kameng,9782
377,Arunachal Pradesh,2019,2,east siang,7319
378,Arunachal Pradesh,2019,2,changlang,6884
379,Arunachal Pradesh,2019,2,tawang,5908
380,Arunachal Pradesh,2019,2,lohit,5485
381,Arunachal Pradesh,2019,2,namsai,3914
382,Arunachal Pradesh,2019,2,west siang,3393
383,Arunachal Pradesh,2019,2,lower dibang valley,2842
384,Arunachal Pradesh,2019,2,tirap,2697
385,Arunachal Pradesh,2019,3,papum pare,38845
386,Arunachal Pradesh,2019,3,west kameng,11186
387,Arunachal Pradesh,2019,3,east siang,8571
388,Arunachal Pradesh,2019,3,changlang,8145
389,Arunachal Pradesh,2019,3,tawang,6553
390,Arunachal Pradesh,2019,3,lohit,6421
391,Arunachal Pradesh,2019,3,namsai,4563
392,Arunachal Pradesh,2019,3,west siang,4101
393,Arunachal Pradesh,2019,3,lower dibang valley,3398
394,Arunachal Pradesh,2019,3,tirap,3099
395,Arunachal Pradesh,2019,4,papum pare,44746
396,Arunachal Pradesh,2019,4,west kameng,12562
397,Arunachal Pradesh,2019,4,east siang,9859
398,Arunachal Pradesh,2019,4,changlang,9662
399,Arunachal Pradesh,2019,4,lohit,7386
400,Arunachal Pradesh,2019,4,tawang,7303
401,Arunachal Pradesh,2019,4,namsai,5190
402,Arunachal Pradesh,2019,4,west siang,4773
403,Arunachal Pradesh,2019,4,lower dibang valley,3944
404,Arunachal Pradesh,2019,4,tirap,3605
405,Arunachal Pradesh,2020,1,papum pare,51342
406,Arunachal Pradesh,2020,1,west kameng,13983
407,Arunachal Pradesh,2020,1,east siang,11298
408,Arunachal Pradesh,2020,1,changlang,11262
409,Arunachal Pradesh,2020,1,lohit,8454
410,Arunachal Pradesh,2020,1,tawang,8048
411,Arunachal Pradesh,2020,1,namsai,6029
412,Arunachal Pradesh,2020,1,west siang,5757
413,Arunachal Pradesh,2020,1,lower dibang valley,4650
414,Arunachal Pradesh,2020,1,lower subansiri,4351
415,Arunachal Pradesh,2020,2,papum pare,59968
416,Arunachal Pradesh,2020,2,west kameng,15766
417,Arunachal Pradesh,2020,2,changlang,14036
418,Arunachal Pradesh,2020,2,east siang,13601
419,Arunachal Pradesh,2020,2,lohit,10154
420,Arunachal Pradesh,2020,2,tawang,8993
421,Arunachal Pradesh,2020,2,namsai,7426
422,Arunachal Pradesh,2020,2,west siang,7239
423,Arunachal Pradesh,2020,2,lower dibang valley,5782
424,Arunachal Pradesh,2020,2,lower subansiri,5392
425,Arunachal Pradesh,2020,3,papum pare,69419
426,Arunachal Pradesh,2020,3,west kameng,17636
427,Arunachal Pradesh,2020,3,changlang,16385
428,Arunachal Pradesh,2020,3,east siang,15921
429,Arunachal Pradesh,2020,3,lohit,11755
430,Arunachal Pradesh,2020,3,tawang,9944
431,Arunachal Pradesh,2020,3,west siang,8623
432,Arunachal Pradesh,2020,3,namsai,8553
433,Arunachal Pradesh,2020,3,lower dibang valley,6799
434,Arunachal Pradesh,2020,3,lower subansiri,6456
435,Arunachal Pradesh,2020,4,papum pare,77936
436,Arunachal Pradesh,2020,4,west kameng,19464
437,Arunachal Pradesh,2020,4,changlang,18203
438,Arunachal Pradesh,2020,4,east siang,17822
439,Arunachal Pradesh,2020,4,lohit,13126
440,Arunachal Pradesh,2020,4,tawang,10909
441,Arunachal Pradesh,2020,4,west siang,9911
442,Arunachal Pradesh,2020,4,namsai,9437
443,Arunachal Pradesh,2020,4,lower dibang valley,7693
444,Arunachal Pradesh,2020,4,lower subansiri,7388
445,Arunachal Pradesh,2021,1,papum pare,84715
446,Arunachal Pradesh,2021,1,west kameng,21027
447,Arunachal Pradesh,2021,1,changlang,19716
448,Arunachal Pradesh,2021,1,east siang,19342
449,Arunachal Pradesh,2021,1,lohit,14231
450,Arunachal Pradesh,2021,1,tawang,11778
451,Arunachal Pradesh,2021,1,west siang,10836
452,Arunachal Pradesh,2021,1,namsai,10242
453,Arunachal Pradesh,2021,1,lower dibang valley,8402
454,Arunachal Pradesh,2021,1,lower subansiri,8044
455,Arunachal Pradesh,2021,2,papum pare,90871
456,Arunachal Pradesh,2021,2,west kameng,22625
457,Arunachal Pradesh,2021,2,changlang,21404
458,Arunachal Pradesh,2021,2,east siang,20817
459,Arunachal Pradesh,2021,2,lohit,15360
460,Arunachal Pradesh,2021,2,tawang,12636
461,Arunachal Pradesh,2021,2,west siang,11657
462,Arunachal Pradesh,2021,2,namsai,11111
463,Arunachal Pradesh,2021,2,lower dibang valley,9094
464,Arunachal Pradesh,2021,2,lower subansiri,8685
465,Arunachal Pradesh,2021,3,papum pare,97854
466,Arunachal Pradesh,2021,3,west kameng,24489
467,Arunachal Pradesh,2021,3,changlang,23328
468,Arunachal Pradesh,2021,3,east siang,22538
469,Arunachal Pradesh,2021,3,lohit,16680
470,Arunachal Pradesh,2021,3,tawang,13650
471,Arunachal Pradesh,2021,3,west siang,12616
472,Arunachal Pradesh,2021,3,namsai,12140
473,Arunachal Pradesh,2021,3,lower dibang valley,9920
474,Arunachal Pradesh,2021,3,lower subansiri,9451
475,Arunachal Pradesh,2021,4,papum pare,104806
476,Arunachal Pradesh,2021,4,west kameng,26237
477,Arunachal Pradesh,2021,4,changlang,25155
478,Arunachal Pradesh,2021,4,east siang,24208
479,Arunachal Pradesh,2021,4,lohit,17980
480,Arunachal Pradesh,2021,4,tawang,14665
481,Arunachal Pradesh,2021,4,west siang,13555
482,Arunachal Pradesh,2021,4,namsai,13092
483,Arunachal Pradesh,2021,4,lower dibang valley,10679
484,Arunachal Pradesh,2021,4,lower subansiri,10187
485,Arunachal Pradesh,2022,1,papum pare,111271
486,Arunachal Pradesh,2022,1,west kameng,27860
487,Arunachal Pradesh,2022,1,changlang,26904
488,Arunachal Pradesh,2022,1,east siang,25763
489,Arunachal Pradesh,2022,1,lohit,19214
490,Arunachal Pradesh,2022,1,tawang,15589
491,Arunachal Pradesh,2022,1,west siang,14420
492,Arunachal Pradesh,2022,1,namsai,14054
493,Arunachal Pradesh,2022,1,lower dibang valley,11401
494,Arunachal Pradesh,2022,1,lower subansiri,10854
495,Arunachal Pradesh,2022,2,papum pare,117568
496,Arunachal Pradesh,2022,2,west kameng,29424
497,Arunachal Pradesh,2022,2,changlang,28495
498,Arunachal Pradesh,2022,2,east siang,27240
499,Arunachal Pradesh,2022,2,lohit,20325
500,Arunachal Pradesh,2022,2,tawang,16475
501,Arunachal Pradesh,2022,2,west siang,15231
502,Arunachal Pradesh,2022,2,namsai,14887
503,Arunachal Pradesh,2022,2,lower dibang valley,12040
504,Arunachal Pradesh,2022,2,lower subansiri,11479
505,Arunachal Pradesh,2022,3,papum pare,124095
506,Arunachal Pradesh,2022,3,west kameng,30964
507,Arunachal Pradesh,2022,3,changlang,29965
508,Arunachal Pradesh,2022,3,east siang,28698
509,Arunachal Pradesh,2022,3,lohit,21385
510,Arunachal Pradesh,2022,3,tawang,17281
511,Arunachal Pradesh,2022,3,west siang,16063
512,Arunachal Pradesh,2022,3,namsai,15642
513,Arunachal Pradesh,2022,3,lower dibang valley,12668
514,Arunachal Pradesh,2022,3,lower subansiri,12085
515,Arunachal Pradesh,2022,4,papum pare,130306
516,Arunachal Pradesh,2022,4,west kameng,32237
517,Arunachal Pradesh,2022,4,changlang,31196
518,Arunachal Pradesh,2022,4,east siang,30033
519,Arunachal Pradesh,2022,4,lohit,22359
520,Arunachal Pradesh,2022,4,tawang,18003
521,Arunachal Pradesh,2022,4,west siang,16816
522,Arunachal Pradesh,2022,4,namsai,16322
523,Arunachal Pradesh,2022,4,lower dibang valley,13188
524,Arunachal Pradesh,2022,4,lower subansiri,12630
525,Arunachal Pradesh,2023,1,papum pare,136357
526,Arunachal Pradesh,2023,1,west kameng,33625
527,Arunachal Pradesh,2023,1,changlang,32646
528,Arunachal Pradesh,2023,1,east siang,31416
529,Arunachal Pradesh,2023,1,lohit,23429
530,Arunachal Pradesh,2023,1,tawang,18817
531,Arunachal Pradesh,2023,1,west siang,17590
532,Arunachal Pradesh,2023,1,namsai,17064
533,Arunachal Pradesh,2023,1,lower dibang valley,13811
534,Arunachal Pradesh,2023,1,lower subansiri,13220
535,Arunachal Pradesh,2023,2,papum pare,141879
